date,ratio_gm_ngm,org
2017-01-31,1.29766856729845,change.org
2017-02-28,1.5136006560825588,change.org
2017-03-31,1.5804593989170543,change.org
2017-04-30,1.671087740670939,change.org
2017-05-31,1.66340254264601,change.org
2017-06-30,1.62034621069866,change.org
2017-07-31,1.6237068334869238,change.org
2017-08-31,1.698728808144287,change.org
2017-09-30,1.7829136209056327,change.org
2017-10-31,1.6894057617093283,change.org
2017-11-30,1.8632094999987259,change.org
2017-12-31,1.957399184323726,change.org
2018-01-31,1.8508766367413414,change.org
2018-02-28,1.6799748974150497,change.org
2018-03-31,1.4641311610406067,change.org
2018-04-30,1.444462235093283,change.org
2018-05-31,1.0588349931655592,change.org
2018-06-30,0.9789828369515327,change.org
2018-07-31,0.9707198837700054,change.org
2018-08-31,1.005575927574923,change.org
2018-09-30,0.9909380860927324,change.org
2018-10-31,1.0011800089801248,change.org
2018-11-30,0.9521473042393125,change.org
2018-12-31,0.9384501365502659,change.org
2019-01-31,0.8341225834124106,change.org
2019-02-28,0.8904904186046981,change.org
2019-03-31,0.8985744376127215,change.org
2017-01-31,1.2585909320321842,credo
2017-02-28,1.3259264007141687,credo
2017-03-31,1.3609346858955247,credo
2017-04-30,1.31963682027714,credo
2017-05-31,1.371490792887182,credo
2017-06-30,1.384978804436665,credo
2017-07-31,1.3458188772231015,credo
2017-08-31,1.4259301572409615,credo
2017-09-30,1.3354912928105913,credo
2017-10-31,1.2672746496735552,credo
2017-11-30,1.2694307651525059,credo
2017-12-31,1.3102934102974229,credo
2018-01-31,1.2884252227852189,credo
2018-02-28,1.140723360245244,credo
2018-03-31,1.0979964778006552,credo
2018-04-30,0.9937235148710548,credo
2018-05-31,0.8229454799459636,credo
2017-01-31,1.163019989275601,dfa
2017-02-28,1.3243440340496557,dfa
2017-03-31,1.2672219958259265,dfa
2017-04-30,1.2895548589189345,dfa
2017-05-31,1.220629338963719,dfa
2017-06-30,1.3421077403941089,dfa
2017-07-31,1.3379929009883234,dfa
2017-08-31,1.4117313473021453,dfa
2017-09-30,1.365126045131661,dfa
2017-10-31,1.2522182530226726,dfa
2017-11-30,1.344545100027793,dfa
2017-12-31,1.3405725448845718,dfa
2018-01-31,1.4242962154852605,dfa
2018-02-28,1.1726934781144644,dfa
2018-03-31,1.2200664347485568,dfa
2018-04-30,1.0386680964772095,dfa
2018-05-31,0.7695822882558447,dfa
2018-06-30,0.7676353486357735,dfa
2018-07-31,0.7347462550084218,dfa
2018-08-31,0.7448131160449557,dfa
2018-09-30,0.727354364955206,dfa
2018-10-31,0.694561958676242,dfa
2018-11-30,0.6675223725141519,dfa
2018-12-31,0.7353728340258261,dfa
2019-01-31,0.6973115106068617,dfa
2019-02-28,0.7157108383783827,dfa
2019-03-31,0.7442802433061603,dfa
2017-06-30,1.642990428583462,sum_of_us
2017-07-31,1.6287609974992763,sum_of_us
2017-08-31,1.7688241352420992,sum_of_us
2017-09-30,1.7153534518395188,sum_of_us
2017-10-31,1.6651287089626858,sum_of_us
2017-11-30,1.6426192633914505,sum_of_us
2017-12-31,1.6510876057439232,sum_of_us
2018-01-31,1.6365282718225656,sum_of_us
2018-02-28,1.441270438163006,sum_of_us
2018-03-31,1.4345905403921366,sum_of_us
2018-04-30,1.2863391451549395,sum_of_us
2018-05-31,1.0520576679223559,sum_of_us
2018-06-30,0.9918696429897907,sum_of_us
2018-07-31,0.9371759372327212,sum_of_us
2018-08-31,0.9673364945281292,sum_of_us
2018-09-30,1.0786569069202092,sum_of_us
2018-10-31,0.8753242748374783,sum_of_us
2018-11-30,0.9101030282439482,sum_of_us
2018-12-31,0.808319474247452,sum_of_us
2019-01-31,0.8769426758847282,sum_of_us
2019-02-28,0.8266939159030587,sum_of_us
2019-03-31,0.8217743731339157,sum_of_us
